arc_challenge,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.065,17.82%,2,0.039,6.10%,3,0.77%,1.78%,5
Llama-3-8B,0.033,10.27%,6,0.031,4.76%,5,3.00%,6.02%,3
Mistral-7B,0.054,17.03%,3,0.024,3.66%,7,-0.26%,-0.51%,6
OLMo-7B,0.067,16.20%,4,0.055,8.68%,1,3.43%,9.30%,1
gemma-7b,0.134,42.76%,1,0.054,8.23%,2,-2.75%,-5.51%,7
Llama-3-70B,0.033,12.08%,5,0.034,5.12%,4,3.26%,5.84%,4
Qwen2-72B,0.009,3.25%,7,0.030,4.52%,6,4.55%,8.15%,2
,,,,,,,,,
arc_easy,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.076,80.64%,3,0.025,3.65%,3,-2.41%,-3.16%,5
Llama-3-8B,0.027,29.57%,7,0.022,3.15%,4,1.56%,1.95%,1
Mistral-7B,0.040,49.86%,5,0.017,2.40%,6,-0.76%,-0.94%,4
OLMo-7B,0.088,83.61%,2,0.028,4.16%,2,-2.83%,-3.86%,6
gemma-7b,0.118,168.71%,1,0.030,4.29%,1,-6.05%,-7.41%,7
Llama-3-70B,0.039,70.38%,4,0.021,2.97%,5,0.47%,0.55%,3
Qwen2-72B,0.020,30.99%,6,0.017,2.38%,7,1.18%,1.41%,2
,,,,,,,,,
hellaswag,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,-0.002,-0.57%,5,0.002,0.30%,3,0.61%,1.06%,3
Llama-3-8B,0.027,7.34%,3,0.001,0.13%,6,-2.48%,-4.12%,5
Mistral-7B,0.049,13.74%,2,-0.001,-0.07%,7,-4.91%,-8.02%,7
OLMo-7B,-0.044,-10.72%,6,0.004,0.52%,2,5.10%,9.16%,1
gemma-7b,0.055,15.12%,1,0.006,0.77%,1,-4.44%,-7.35%,6
Llama-3-70B,0.000,0.09%,4,0.001,0.15%,4,-0.01%,-0.02%,4
Qwen2-72B,-0.038,-11.04%,7,0.001,0.15%,5,3.68%,5.61%,2
,,,,,,,,,
medmcqa,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.049,9.88%,3,0.023,3.65%,3,-0.33%,-1.18%,3
Llama-3-8B,0.029,6.13%,6,0.014,2.22%,5,-0.50%,-1.64%,4
Mistral-7B,0.043,9.31%,4,0.017,2.66%,4,-1.58%,-5.11%,6
OLMo-7B,0.035,6.87%,5,0.030,4.69%,2,1.79%,6.61%,1
gemma-7b,0.112,22.60%,1,0.057,9.06%,1,-0.62%,-2.15%,5
Llama-3-70B,0.049,10.99%,2,0.013,1.97%,6,-2.06%,-5.83%,7
Qwen2-72B,0.014,2.89%,7,0.011,1.73%,7,0.50%,1.69%,2
,,,,,,,,,
mmlu_humanities,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.039,6.98%,4,0.016,2.30%,3,-0.91%,-2.72%,5
Llama-3-8B,-0.018,-3.20%,7,0.000,0.03%,7,1.74%,4.93%,1
Mistral-7B,0.038,7.00%,3,0.010,1.46%,6,-1.89%,-5.32%,6
OLMo-7B,0.009,1.52%,6,0.012,1.81%,5,1.42%,4.52%,2
gemma-7b,0.049,8.70%,2,0.015,2.13%,4,-1.87%,-5.36%,7
Llama-3-70B,0.026,5.31%,5,0.021,2.97%,2,1.66%,4.13%,3
Qwen2-72B,0.047,12.90%,1,0.025,3.74%,1,1.03%,2.15%,4
,,,,,,,,,
mmlu_other,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.073,22.30%,4,0.033,5.05%,3,-0.87%,-1.79%,4
Llama-3-8B,0.036,12.10%,6,0.026,3.95%,5,1.22%,2.29%,2
Mistral-7B,0.082,27.54%,2,0.019,2.85%,6,-4.60%,-8.70%,6
OLMo-7B,0.094,26.59%,3,0.045,7.01%,2,-0.97%,-2.16%,5
gemma-7b,0.145,47.01%,1,0.046,7.05%,1,-5.34%,-10.36%,7
Llama-3-70B,0.037,14.57%,5,0.029,4.27%,4,1.87%,3.11%,1
Qwen2-72B,0.019,7.33%,7,0.018,2.62%,7,1.03%,1.70%,3
,,,,,,,,,
mmlu_social_sciences,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.050,12.12%,4,0.030,4.46%,3,0.58%,1.35%,3
Llama-3-8B,0.025,6.59%,7,0.020,3.00%,5,1.17%,2.42%,2
Mistral-7B,0.077,20.29%,2,0.015,2.29%,6,-4.29%,-9.07%,6
OLMo-7B,0.082,19.09%,3,0.035,5.29%,2,-1.27%,-3.13%,5
gemma-7b,0.124,32.95%,1,0.036,5.36%,1,-5.43%,-11.31%,7
Llama-3-70B,0.032,10.12%,5,0.026,3.74%,4,1.53%,2.73%,1
Qwen2-72B,0.023,7.40%,6,0.013,1.83%,7,0.03%,0.06%,4
,,,,,,,,,
mmlu_stem,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.080,20.33%,2,0.047,7.67%,3,0.54%,1.52%,5
Llama-3-8B,0.057,17.26%,5,0.040,6.34%,4,2.00%,4.60%,2
Mistral-7B,0.056,16.11%,6,0.028,4.45%,6,-1.14%,-2.77%,6
OLMo-7B,0.086,19.07%,3,0.063,10.16%,2,2.79%,9.15%,1
gemma-7b,0.173,53.67%,1,0.074,11.81%,1,-3.65%,-8.24%,7
Llama-3-70B,0.052,18.91%,4,0.037,5.77%,5,1.87%,3.53%,3
Qwen2-72B,0.041,15.83%,7,0.027,4.10%,7,1.01%,1.80%,4
,,,,,,,,,
piqa,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.024,14.76%,4,0.006,1.39%,4,-1.63%,-2.09%,5
Llama-3-8B,0.018,11.44%,6,0.003,0.73%,7,-0.98%,-1.23%,3
Mistral-7B,0.023,16.12%,3,0.006,1.35%,5,-1.31%,-1.62%,4
OLMo-7B,0.047,30.20%,2,0.021,4.85%,1,-2.83%,-3.59%,6
gemma-7b,0.051,35.22%,1,0.016,3.66%,2,-3.26%,-4.07%,7
Llama-3-70B,0.018,12.96%,5,0.010,2.11%,3,-0.76%,-0.93%,2
Qwen2-72B,0.005,3.87%,7,0.006,1.22%,6,0.11%,0.13%,1
,,,,,,,,,
sciq,contunuation_sum,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.010,59.51%,4,0.002,0.24%,1,0.00%,0.00%,2
Llama-3-8B,0.010,77.00%,3,0.001,0.13%,3,-0.10%,-0.10%,5
Mistral-7B,0.005,37.66%,6,0.002,0.23%,2,-0.20%,-0.21%,6
OLMo-7B,0.023,123.66%,2,-0.003,-0.42%,7,-2.00%,-2.16%,7
gemma-7b,0.021,167.43%,1,0.000,0.04%,5,0.00%,0.00%,2
Llama-3-70B,0.003,21.48%,7,0.001,0.10%,4,0.50%,0.52%,1
Qwen2-72B,0.004,48.01%,5,0.000,0.03%,6,0.00%,0.00%,2